community,building_type,_date,average_price
Agincourt North,Att/Row/Twnhouse,2001Q1,200262.5
Agincourt North,Att/Row/Twnhouse,2001Q2,203750.0
Agincourt North,Att/Row/Twnhouse,2001Q3,207083.33
Agincourt North,Att/Row/Twnhouse,2001Q4,215883.33
Agincourt North,Att/Row/Twnhouse,2002Q1,224055.56
Agincourt North,Att/Row/Twnhouse,2002Q2,230350.0
Agincourt North,Att/Row/Twnhouse,2002Q3,220833.33
Agincourt North,Att/Row/Twnhouse,2002Q4,222750.0
Agincourt North,Att/Row/Twnhouse,2003Q1,237500.0
Agincourt North,Att/Row/Twnhouse,2003Q2,239666.67
Agincourt North,Att/Row/Twnhouse,2003Q3,231516.67
Agincourt North,Att/Row/Twnhouse,2003Q4,232566.67
Agincourt North,Att/Row/Twnhouse,2004Q1,238080.0
Agincourt North,Att/Row/Twnhouse,2004Q2,253328.58
Agincourt North,Att/Row/Twnhouse,2004Q3,244365.56
Agincourt North,Att/Row/Twnhouse,2004Q4,243275.0
Agincourt North,Att/Row/Twnhouse,2005Q1,259375.0
Agincourt North,Att/Row/Twnhouse,2005Q2,245687.5
Agincourt North,Att/Row/Twnhouse,2005Q3,240880.0
Agincourt North,Att/Row/Twnhouse,2005Q4,240442.86
Agincourt North,Att/Row/Twnhouse,2006Q1,257080.0
Agincourt North,Att/Row/Twnhouse,2006Q2,267680.0
Agincourt North,Att/Row/Twnhouse,2006Q3,265857.16
Agincourt North,Att/Row/Twnhouse,2006Q4,268384.0
Agincourt North,Att/Row/Twnhouse,2007Q1,268384.0
Agincourt North,Att/Row/Twnhouse,2007Q2,268384.0
Agincourt North,Att/Row/Twnhouse,2007Q3,278807.16
Agincourt North,Att/Row/Twnhouse,2007Q4,287475.0
Agincourt North,Att/Row/Twnhouse,2008Q1,322400.0
Agincourt North,Att/Row/Twnhouse,2008Q2,323373.63
Agincourt North,Att/Row/Twnhouse,2008Q3,283738.34
Agincourt North,Att/Row/Twnhouse,2008Q4,285900.0
Agincourt North,Att/Row/Twnhouse,2009Q1,285900.0
Agincourt North,Att/Row/Twnhouse,2009Q2,294777.78
Agincourt North,Att/Row/Twnhouse,2009Q3,321760.0
Agincourt North,Att/Row/Twnhouse,2009Q4,340375.0
Agincourt North,Att/Row/Twnhouse,2010Q1,340375.0
Agincourt North,Att/Row/Twnhouse,2010Q2,318680.0
Agincourt North,Att/Row/Twnhouse,2010Q3,318333.34
Agincourt North,Att/Row/Twnhouse,2010Q4,318333.34
Agincourt North,Att/Row/Twnhouse,2011Q1,333000.0
Agincourt North,Att/Row/Twnhouse,2011Q2,389933.34
Agincourt North,Att/Row/Twnhouse,2011Q3,341750.0
Agincourt North,Att/Row/Twnhouse,2011Q4,341750.0
Agincourt North,Att/Row/Twnhouse,2012Q1,341750.0
Agincourt North,Att/Row/Twnhouse,2012Q2,376160.0
Agincourt North,Att/Row/Twnhouse,2012Q3,375883.34
Agincourt North,Att/Row/Twnhouse,2012Q4,341133.34
Agincourt North,Att/Row/Twnhouse,2013Q1,387000.0
Agincourt North,Att/Row/Twnhouse,2013Q2,398462.5
Agincourt North,Att/Row/Twnhouse,2013Q3,435000.0
Agincourt North,Att/Row/Twnhouse,2013Q4,438600.0
Agincourt North,Att/Row/Twnhouse,2014Q1,467730.0
Agincourt North,Att/Row/Twnhouse,2014Q2,467730.0
Agincourt North,Att/Row/Twnhouse,2014Q3,489560.0
Agincourt North,Att/Row/Twnhouse,2014Q4,472200.0
Agincourt North,Att/Row/Twnhouse,2015Q1,472200.0
Agincourt North,Att/Row/Twnhouse,2015Q2,630250.0
Agincourt North,Att/Row/Twnhouse,2015Q3,539399.81
Agincourt North,Att/Row/Twnhouse,2015Q4,539399.81
Agincourt North,Att/Row/Twnhouse,2016Q1,561833.31
Agincourt North,Att/Row/Twnhouse,2016Q2,579500.0
Agincourt North,Att/Row/Twnhouse,2016Q3,644250.81
Agincourt North,Att/Row/Twnhouse,2016Q4,630980.0
Agincourt North,Att/Row/Twnhouse,2017Q1,630980.0
Agincourt North,Att/Row/Twnhouse,2017Q2,630980.0
Agincourt North,Att/Row/Twnhouse,2017Q3,630980.0
Agincourt North,Att/Row/Twnhouse,2017Q4,649357.13
Agincourt North,Att/Row/Twnhouse,2018Q1,649357.13
Agincourt North,Att/Row/Twnhouse,2018Q2,649357.13
Agincourt North,Att/Row/Twnhouse,2018Q3,645600.0
Agincourt North,Att/Row/Twnhouse,2018Q4,648666.69
Agincourt North,Condo Apt,2001Q1,172525.0
Agincourt North,Condo Apt,2001Q2,175099.13
Agincourt North,Condo Apt,2001Q3,175311.2
Agincourt North,Condo Apt,2001Q4,168660.0
Agincourt North,Condo Apt,2002Q1,171217.89
Agincourt North,Condo Apt,2002Q2,176267.11
Agincourt North,Condo Apt,2002Q3,183290.47
Agincourt North,Condo Apt,2002Q4,176465.0
Agincourt North,Condo Apt,2003Q1,182104.55
Agincourt North,Condo Apt,2003Q2,177896.42
Agincourt North,Condo Apt,2003Q3,178696.73
Agincourt North,Condo Apt,2003Q4,187368.19
Agincourt North,Condo Apt,2004Q1,181334.78
Agincourt North,Condo Apt,2004Q2,184800.0
Agincourt North,Condo Apt,2004Q3,179982.34
Agincourt North,Condo Apt,2004Q4,174692.31
Agincourt North,Condo Apt,2005Q1,176529.52
Agincourt North,Condo Apt,2005Q2,177810.34
Agincourt North,Condo Apt,2005Q3,183358.33
Agincourt North,Condo Apt,2005Q4,183815.0
Agincourt North,Condo Apt,2006Q1,187273.33
Agincourt North,Condo Apt,2006Q2,190100.0
Agincourt North,Condo Apt,2006Q3,177403.08
Agincourt North,Condo Apt,2006Q4,181183.33
Agincourt North,Condo Apt,2007Q1,187408.83
Agincourt North,Condo Apt,2007Q2,192993.11
Agincourt North,Condo Apt,2007Q3,188070.0
Agincourt North,Condo Apt,2007Q4,180050.0
Agincourt North,Condo Apt,2008Q1,191955.56
Agincourt North,Condo Apt,2008Q2,192737.5
Agincourt North,Condo Apt,2008Q3,193093.75
Agincourt North,Condo Apt,2008Q4,176160.72
Agincourt North,Condo Apt,2009Q1,190692.31
Agincourt North,Condo Apt,2009Q2,182563.52
Agincourt North,Condo Apt,2009Q3,200753.75
Agincourt North,Condo Apt,2009Q4,208758.55
Agincourt North,Condo Apt,2010Q1,208758.55
Agincourt North,Condo Apt,2010Q2,204074.25
Agincourt North,Condo Apt,2010Q3,208307.14
Agincourt North,Condo Apt,2010Q4,208307.14
Agincourt North,Condo Apt,2011Q1,226638.47
Agincourt North,Condo Apt,2011Q2,226638.47
Agincourt North,Condo Apt,2011Q3,225399.55
Agincourt North,Condo Apt,2011Q4,214004.34
Agincourt North,Condo Apt,2012Q1,213742.92
Agincourt North,Condo Apt,2012Q2,223232.56
Agincourt North,Condo Apt,2012Q3,218480.0
Agincourt North,Condo Apt,2012Q4,214414.28
Agincourt North,Condo Apt,2013Q1,215047.63
Agincourt North,Condo Apt,2013Q2,234420.0
Agincourt North,Condo Apt,2013Q3,227665.16
Agincourt North,Condo Apt,2013Q4,227938.13
Agincourt North,Condo Apt,2014Q1,236340.0
Agincourt North,Condo Apt,2014Q2,236340.0
Agincourt North,Condo Apt,2014Q3,252161.38
Agincourt North,Condo Apt,2014Q4,246690.0
Agincourt North,Condo Apt,2015Q1,254911.08
Agincourt North,Condo Apt,2015Q2,257243.91
Agincourt North,Condo Apt,2015Q3,263660.0
Agincourt North,Condo Apt,2015Q4,263950.0
Agincourt North,Condo Apt,2016Q1,271917.5
Agincourt North,Condo Apt,2016Q2,295350.0
Agincourt North,Condo Apt,2016Q3,301706.91
Agincourt North,Condo Apt,2016Q4,303725.0
Agincourt North,Condo Apt,2017Q1,345625.94
Agincourt North,Condo Apt,2017Q2,381774.97
Agincourt North,Condo Apt,2017Q3,374949.97
Agincourt North,Condo Apt,2017Q4,374834.13
Agincourt North,Condo Apt,2018Q1,389545.47
Agincourt North,Condo Apt,2018Q2,386647.38
Agincourt North,Condo Apt,2018Q3,387753.13
Agincourt North,Condo Apt,2018Q4,398447.06
Agincourt North,Detached,2001Q1,275757.22
Agincourt North,Detached,2001Q2,280544.06
Agincourt North,Detached,2001Q3,285364.53
Agincourt North,Detached,2001Q4,276235.28
Agincourt North,Detached,2002Q1,296015.16
Agincourt North,Detached,2002Q2,293025.0
Agincourt North,Detached,2002Q3,305710.22
Agincourt North,Detached,2002Q4,303184.63
Agincourt North,Detached,2003Q1,313730.28
Agincourt North,Detached,2003Q2,324894.44
Agincourt North,Detached,2003Q3,339784.22
Agincourt North,Detached,2003Q4,333783.34
Agincourt North,Detached,2004Q1,322721.63
Agincourt North,Detached,2004Q2,328954.53
Agincourt North,Detached,2004Q3,335391.03
Agincourt North,Detached,2004Q4,339230.03
Agincourt North,Detached,2005Q1,334168.97
Agincourt North,Detached,2005Q2,337021.13
Agincourt North,Detached,2005Q3,338901.72
Agincourt North,Detached,2005Q4,339975.88
Agincourt North,Detached,2006Q1,355105.56
Agincourt North,Detached,2006Q2,362377.06
Agincourt North,Detached,2006Q3,364616.66
Agincourt North,Detached,2006Q4,339766.72
Agincourt North,Detached,2007Q1,363462.72
Agincourt North,Detached,2007Q2,385971.88
Agincourt North,Detached,2007Q3,391887.91
Agincourt North,Detached,2007Q4,375445.84
Agincourt North,Detached,2008Q1,388733.34
Agincourt North,Detached,2008Q2,396972.94
Agincourt North,Detached,2008Q3,391748.5
Agincourt North,Detached,2008Q4,385581.81
Agincourt North,Detached,2009Q1,367228.5
Agincourt North,Detached,2009Q2,389347.22
Agincourt North,Detached,2009Q3,411169.78
Agincourt North,Detached,2009Q4,450011.88
Agincourt North,Detached,2010Q1,450011.88
Agincourt North,Detached,2010Q2,467253.75
Agincourt North,Detached,2010Q3,443621.06
Agincourt North,Detached,2010Q4,443621.06
Agincourt North,Detached,2011Q1,461107.69
Agincourt North,Detached,2011Q2,461107.69
Agincourt North,Detached,2011Q3,492022.78
Agincourt North,Detached,2011Q4,503911.13
Agincourt North,Detached,2012Q1,537125.19
Agincourt North,Detached,2012Q2,568063.88
Agincourt North,Detached,2012Q3,535573.94
Agincourt North,Detached,2012Q4,517642.09
Agincourt North,Detached,2013Q1,566562.5
Agincourt North,Detached,2013Q2,586428.63
Agincourt North,Detached,2013Q3,600247.06
Agincourt North,Detached,2013Q4,661648.19
Agincourt North,Detached,2014Q1,637709.75
Agincourt North,Detached,2014Q2,637709.75
Agincourt North,Detached,2014Q3,678884.63
Agincourt North,Detached,2014Q4,686511.75
Agincourt North,Detached,2015Q1,752313.44
Agincourt North,Detached,2015Q2,755907.69
Agincourt North,Detached,2015Q3,753538.19
Agincourt North,Detached,2015Q4,710153.88
Agincourt North,Detached,2016Q1,792566.0
Agincourt North,Detached,2016Q2,845325.75
Agincourt North,Detached,2016Q3,921532.13
Agincourt North,Detached,2016Q4,892789.31
Agincourt North,Detached,2017Q1,1087213.38
Agincourt North,Detached,2017Q2,1095584.38
Agincourt North,Detached,2017Q3,899533.31
Agincourt North,Detached,2017Q4,858268.75
Agincourt North,Detached,2018Q1,876409.06
Agincourt North,Detached,2018Q2,858452.38
Agincourt North,Detached,2018Q3,887952.19
Agincourt North,Detached,2018Q4,817287.5
Agincourt North,Semi-Detached,2001Q1,217216.67
Agincourt North,Semi-Detached,2001Q2,222166.67
Agincourt North,Semi-Detached,2001Q3,232172.73
Agincourt North,Semi-Detached,2001Q4,230064.67
Agincourt North,Semi-Detached,2002Q1,249287.78
Agincourt North,Semi-Detached,2002Q2,247733.33
Agincourt North,Semi-Detached,2002Q3,250138.47
Agincourt North,Semi-Detached,2002Q4,249343.75
Agincourt North,Semi-Detached,2003Q1,264515.38
Agincourt North,Semi-Detached,2003Q2,253612.94
Agincourt North,Semi-Detached,2003Q3,263346.66
Agincourt North,Semi-Detached,2003Q4,266362.5
Agincourt North,Semi-Detached,2004Q1,271761.53
Agincourt North,Semi-Detached,2004Q2,281862.5
Agincourt North,Semi-Detached,2004Q3,263972.72
Agincourt North,Semi-Detached,2004Q4,258650.0
Agincourt North,Semi-Detached,2005Q1,275262.5
Agincourt North,Semi-Detached,2005Q2,277310.44
Agincourt North,Semi-Detached,2005Q3,276365.34
Agincourt North,Semi-Detached,2005Q4,279758.34
Agincourt North,Semi-Detached,2006Q1,279716.66
Agincourt North,Semi-Detached,2006Q2,283344.44
Agincourt North,Semi-Detached,2006Q3,280303.34
Agincourt North,Semi-Detached,2006Q4,289244.44
Agincourt North,Semi-Detached,2007Q1,290730.09
Agincourt North,Semi-Detached,2007Q2,308115.66
Agincourt North,Semi-Detached,2007Q3,315450.0
Agincourt North,Semi-Detached,2007Q4,305328.56
Agincourt North,Semi-Detached,2008Q1,322400.0
Agincourt North,Semi-Detached,2008Q2,323373.63
Agincourt North,Semi-Detached,2008Q3,313918.38
Agincourt North,Semi-Detached,2008Q4,285977.59
Agincourt North,Semi-Detached,2009Q1,295400.0
Agincourt North,Semi-Detached,2009Q2,314023.06
Agincourt North,Semi-Detached,2009Q3,329264.72
Agincourt North,Semi-Detached,2009Q4,350258.81
Agincourt North,Semi-Detached,2010Q1,350258.81
